Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Date,Month,Branch Name,Dealer Name ,Country_ID,Product_Name,Country_Name
BR0231,DLR0032,Cad-M32,5221738,1,DT00024,1/24/2017,01,British Leyland Motors,British Leyland Motors,CNTR024,Ford, Belize
BR0241,DLR0033,Cad-M33,3001169,1,DT00025,1/25/2017,01,Austin-Healey Motors,Austin-Healey Motors,CNTR025,Ford, Benin
BR0251,DLR0034,Cad-M34,19425790,2,DT00026,1/26/2017,01,"Austin, Rover Motors","Austin, Rover Motors",CNTR026,Ford, Bermuda (UK)
BR0261,DLR0035,Cad-M35,15268707,3,DT00027,1/27/2017,01,Bugatti Motors,Bugatti Motors,CNTR027,Lincoln, Bhutan
BR0271,DLR0036,Cad-M36,19737520,2,DT00028,1/28/2017,01,Buick Motors,Buick Motors,CNTR028,Lincoln, Bolivia
BR0281,DLR0038,Cad-M38,7654362,2,DT00029,1/29/2017,01,Bytom Motors,Bytom Motors,CNTR029,Lincoln, Bosnia and Herzegovina
BR0291,DLR0039,Cad-M39,4722916,2,DT00030,1/30/2017,01,Cadillac Motors,Cadillac Motors,CNTR030,Lincoln, Botswana
BR0301,DLR0040,Che-M40,28009680,3,DT00031,1/31/2017,01,Caterham Motors,Caterham Motors,CNTR031,Buick, Brazil
BR0311,DLR0042,Che-M42,18106066,2,DT00032,2/1/2017,02,Checker Motors,Checker Motors,CNTR032,Cadillac, Brunei
BR0321,DLR0045,Che-M45,2907854,2,DT00033,2/2/2017,02,Chevrolet Motors,Chevrolet Motors,CNTR033,Cadillac, Bulgaria
BR0331,DLR0046,Che-M46,9805538,2,DT00034,2/3/2017,02,Chevrolet India Motors,Chevrolet India Motors,CNTR034,Cadillac, Burkina Faso
BR0341,DLR0047,Che-M47,13362888,3,DT00035,2/4/2017,02,Chrysler Motors,Chrysler Motors,CNTR035,Cadillac, Burundi
BR0351,DLR0048,Che-M48,8198552,1,DT00036,2/5/2017,02,Chrysler Europe Motors,Chrysler Europe Motors,CNTR036,Cadillac, Cambodia
BR0361,DLR0049,Che-M49,16954836,2,DT00037,2/6/2017,02,Citroën Motors,Citroën Motors,CNTR037,Cadillac, Cameroon
BR0371,DLR0050,Che-M50,13123946,2,DT00038,2/7/2017,02,Cizeta-Moroder Motors,Cizeta-Moroder Motors,CNTR038,Cadillac, Canada
BR0381,DLR0051,Che-M51,7896011,1,DT00039,2/8/2017,02,Dacia Motors,Dacia Motors,CNTR039,Cadillac, Cape Verde
BR0391,DLR0053,GMC-M53,12806852,2,DT00040,2/9/2017,02,"Daewoo, Saehan, Chevrolet Korea Motors","Daewoo, Saehan, Chevrolet Korea Motors",CNTR040,Chevrolet, Cayman Islands (UK)
BR0401,DLR0054,GMC-M54,540801,1,DT00041,2/10/2017,02,DAF Motors,DAF Motors,CNTR041,Chevrolet, Central African Republic
BR0411,DLR0056,GMC-M56,27851115,3,DT00042,2/11/2017,02,Daihatsu Motors,Daihatsu Motors,CNTR042,Chevrolet, Chad
BR0421,DLR0057,GMC-M57,25853679,3,DT00043,2/12/2017,02,Daimler Motors,Daimler Motors,CNTR043,Chevrolet, Chile
BR0431,DLR0059,Acu-M59,27157551,3,DT00044,2/13/2017,02,Datsun Motors,Delahaye Motors,CNTR044,Chevrolet, Chile
BR0441,DLR0060,Acu-M60,7166549,1,DT00045,2/14/2017,02,Delahaye Motors,DeLorean Motors,CNTR045,Chevrolet," China, People's Republic of"
BR0451,DLR0061,Acu-M61,827032,2,DT00046,2/15/2017,02,DeLorean Motors,DeSoto Motors,CNTR046,Chevrolet, Christmas Island (Australia)
BR0461,DLR0062,Acu-M62,887358,2,DT00047,2/16/2017,02,DeSoto Motors,De Tomaso Motors,CNTR047,Chevrolet, Cocos (Keeling) Islands (Australia)
BR0471,DLR0063,Acu-M63,2376282,3,DT00048,2/17/2017,02,De Tomaso Motors,Dodge Motors,CNTR048,Chevrolet, Colombia
BR0481,DLR0064,Hon-M64,6012624,2,DT00049,2/18/2017,02,Dodge Motors,Donkervoort Motors,CNTR049,Chevrolet, Comoros
BR0491,DLR0065,Hon-M65,5149104,1,DT00050,2/19/2017,02,Donkervoort Motors,Edsel Motors,CNTR050,Chevrolet," Congo, Democratic Republic of the"
BR0501,DLR0066,Hon-M66,20033082,3,DT00051,2/20/2017,02,Edsel Motors,e.GO Mobile Motors,CNTR051,Chevrolet," Congo, Republic of the"
BR0511,DLR0067,Hon-M67,11657025,3,DT00052,2/21/2017,02,e.GO Mobile Motors,Eicher Polaris Motors,CNTR052,GMC, Cook Islands (New Zealand)
BR0521,DLR0069,Hon-M69,29778390,3,DT00053,2/22/2017,02,Eicher Polaris Motors,Elva Motors,CNTR053,GMC, Costa Rica
BR0531,DLR0070,Hon-M70,27882654,3,DT00054,2/23/2017,02,Elva Motors,Facel Vega Motors,CNTR054,GMC, Côte d'Ivoire
BR0541,DLR0071,Hon-M71,19496403,3,DT00055,2/24/2017,02,Facel Vega Motors,Ferrari Motors,CNTR055,GMC, Croatia
BR0551,DLR0072,Hyu-M72,3099601,1,DT00056,2/25/2017,02,Ferrari Motors,Fiat Motors,CNTR056,GMC, Cuba
BR0561,DLR0073,Hyu-M73,10618472,2,DT00057,2/26/2017,02,Fiat Motors,Fiat do Brasil Motors,CNTR057,GMC, Curaçao (Netherlands)
BR0571,DLR0074,Hyu-M74,9618594,1,DT00058,2/27/2017,02,Fiat do Brasil Motors,Fiat India Motors,CNTR058,GMC, Cyprus
BR0581,DLR0075,Hyu-M75,28655037,3,DT00059,2/28/2017,02,Fiat India Motors,"Fisker, Karma Motors",CNTR059,Acura, Czech Republic
BR0591,DLR0076,Kia-M76,5033528,1,DT00060,3/1/2017,03,"Fisker, Karma Motors",Ford America Motors,CNTR060,Acura, Czech Republic
BR0601,DLR0078,Kia-M78,9175180,1,DT00061,3/2/2017,03,Ford America Motors,Ford Australia Motors,CNTR061,Acura, Denmark
BR0611,DLR0079,Inf-M79,2505504,1,DT00062,3/3/2017,03,Ford Australia Motors,Ford do Brasil Motors,CNTR062,Acura, Djibouti
BR0621,DLR0080,Nis-M80,1831088,2,DT00063,3/4/2017,03,Ford do Brasil Motors,Ford Europe Motors,CNTR063,Acura, Dominica
BR0631,DLR0081,Nis-M81,7650808,2,DT00064,3/5/2017,03,Ford Europe Motors,Ford India Motors,CNTR064,Honda, Dominican Republic
BR0641,DLR0082,Nis-M82,6545996,1,DT00065,3/6/2017,03,Ford India Motors,Freightliner Motors,CNTR065,Honda, East Timor
BR0651,DLR0085,Nis-M85,7548524,1,DT00066,3/7/2017,03,Freightliner Motors,FSO Motors,CNTR066,Honda, Ecuador
BR0661,DLR0086,Nis-M86,24649203,3,DT00067,3/8/2017,03,FSO Motors,GAZ Motors,CNTR067,Honda, Ecuador
BR0671,DLR0087,Nis-M87,17799570,3,DT00068,3/9/2017,03,GAZ Motors,Geo Motors,CNTR068,Honda, Egypt
BR0681,DLR0088,Nis-M88,6450024,2,DT00069,3/10/2017,03,Geo Motors,Gilbern Motors,CNTR069,Honda, El Salvador
BR0691,DLR0089,Nis-M89,3425558,1,DT00070,3/11/2017,03,Gilbern Motors,Ginetta Motors,CNTR070,Honda, Equatorial Guinea
BR0701,DLR0090,Riv-M90,7979531,1,DT00071,3/12/2017,03,Ginetta Motors,Glas Motors,CNTR071,Honda, Eritrea
BR0711,DLR0091,Riv-M91,4713975,1,DT00072,3/13/2017,03,Glas Motors,GMC Motors,CNTR072,Hyundai, Estonia
BR0721,DLR0092,Sub-M92,5758576,1,DT00073,3/14/2017,03,GMC Motors,GTA Spano Motors,CNTR073,Hyundai, Eswatini
BR0731,DLR0093,Sub-M93,5584847,1,DT00074,3/15/2017,03,GTA Spano Motors,Gumpert Motors,CNTR074,Hyundai, Ethiopia
BR0741,DLR0094,Sub-M94,12409908,2,DT00075,3/16/2017,03,Gumpert Motors,Healey Motors,CNTR075,Hyundai, Falkland Islands (UK)
BR0751,DLR0095,Sub-M95,14535884,2,DT00076,3/17/2017,03,Healey Motors,Heinkel Motors,CNTR076,Kia, Faroe Islands (Denmark)
BR0761,DLR0097,Tes-M97,25965132,3,DT00077,3/18/2017,03,Heinkel Motors,Hennessey Motors,CNTR077,Kia, Fiji
BR0771,DLR0098,Tes-M98,19511448,3,DT00078,3/19/2017,03,Hennessey Motors,Hillman Motors,CNTR078,Kia, Finland
BR0781,DLR0099,Lex-M99,29188608,3,DT00079,3/20/2017,03,Hillman Motors,Hindustan Motors,CNTR078,Infiniti, Finland
BR0791,DLR0101,Toy-M101,9765765,1,DT00080,3/21/2017,03,Hindustan Motors,Holden Motors,CNTR079,Nissan, France
BR0801,DLR0103,Toy-M103,7065574,2,DT00081,3/22/2017,03,Holden Motors,Honda Motors,CNTR079,Nissan, France
BR0811,DLR0105,Toy-M105,19224651,3,DT00082,3/23/2017,03,Honda Motors,Honda India Motors,CNTR080,Nissan, French Guiana (France)
BR0821,DLR0106,Toy-M106,22519947,3,DT00083,3/24/2017,03,Honda India Motors,Hudson Motors,CNTR081,Nissan, French Polynesia (France)
BR0831,DLR0107,Toy-M107,9518214,1,DT00084,3/25/2017,03,Hudson Motors,Humber Motors,CNTR082,Nissan, Gabon
BR0841,DLR0108,Vol-M108,5165328,3,DT00085,3/26/2017,03,Humber Motors,Hummer Motors,CNTR083,Nissan," Gambia, The"
BR0851,DLR0111,Agr-M111,9378756,1,DT00086,3/27/2017,03,Hummer Motors,Hyundai Motors,CNTR084,Nissan, Georgia
BR0861,DLR0112,Agr-M112,16902318,3,DT00087,3/28/2017,03,Hyundai Motors,"IFA (including Trabant, Wartburg, Barkas) Motors",CNTR085,Nissan, Germany
BR0871,DLR0113,Agr-M113,6757582,1,DT00088,3/29/2017,03,"IFA (including Trabant, Wartburg, Barkas) Motors",Infiniti Motors,CNTR085,Nissan, Germany
BR0881,DLR0115,Cit-M115,2672576,2,DT00089,3/30/2017,03,Infiniti Motors,Invicta Motors,CNTR086,Nissan, Ghana
BR0891,DLR0116,Cit-M116,20009418,3,DT00090,3/31/2017,03,Innocenti Motors,Isdera Motors,CNTR087,Rivian, Gibraltar (UK)
BR0901,DLR0118,Fia-M118,8396223,1,DT00091,4/1/2017,04,Invicta Motors,Iso Motors,CNTR088,Rivian, Greece
BR0911,DLR0119,For-M119,4386508,2,DT00092,4/2/2017,04,Isdera Motors,Isotta Fraschini Motors,CNTR089,Subaru, Greenland (Denmark)
BR0921,DLR0124,Peu-M124,12536596,2,DT00093,4/3/2017,04,Iso Motors,Isuzu Motors,CNTR090,Subaru, Grenada
BR0931,DLR0125,Peu-M125,4013044,2,DT00094,4/4/2017,04,Isotta Fraschini Motors,Iveco Motors,CNTR091,Subaru, Guam (US)
BR0941,DLR0126,Peu-M126,17994549,3,DT00095,4/5/2017,04,Isuzu Motors,Jaguar Motors,CNTR092,Subaru, Guatemala
BR0951,DLR0127,Ren-M127,20032434,3,DT00096,4/6/2017,04,Iveco Motors,Jeep Motors,CNTR093,Tesla, Guernsey (UK)
BR0961,DLR0130,Ren-M130,2945306,1,DT00097,4/7/2017,04,Jaguar Motors,Jensen Motors,CNTR094,Tesla, Guinea
BR0971,DLR0131,Ren-M131,9813516,1,DT00098,4/8/2017,04,Jeep Motors,JPX Motors,CNTR095,Tesla, Guinea-Bissau
BR0981,DLR0133,Toy-M133,8014593,1,DT00099,4/9/2017,04,Jensen Motors,Kia Motors,CNTR096,Lexus, Guyana
BR0991,DLR0136,Vol-M136,19375632,3,DT00100,4/10/2017,04,JPX Motors,Koenigsegg Motors,CNTR097,Toyota, Haiti
BR1001,DLR0138,Mar-M138,5418394,1,DT00101,4/11/2017,04,Kia Motors,KTM Motors,CNTR098,Toyota, Honduras
BR1011,DLR0140,Mar-M140,28350189,3,DT00102,4/12/2017,04,Koenigsegg Motors,Lada Motors,CNTR099,Toyota, Hungary
BR1021,DLR0141,Mar-M141,5897132,2,DT00103,4/13/2017,04,KTM Motors,Lamborghini Motors,CNTR100,Toyota, Iceland
BR1031,DLR0142,Mar-M142,14312230,2,DT00104,4/14/2017,04,Lada Motors,Lancia Motors,CNTR100,Toyota, Iceland
BR1041,DLR0143,Mar-M143,6365796,3,DT00105,4/15/2017,04,Lamborghini Motors,Land Rover Motors,CNTR101,Toyota, India
BR1051,DLR0144,Mar-M144,8912312,2,DT00106,4/16/2017,04,Lancia Motors,Lexus Motors,CNTR102,Toyota, Indonesia
BR1061,DLR0146,Mar-M146,6485847,3,DT00107,4/17/2017,04,Land Rover Motors,Ligier Motors,CNTR102,Toyota, Indonesia
BR1071,DLR0147,Mar-M147,17561478,2,DT00108,4/18/2017,04,Lexus Motors,Lincoln Motors,CNTR102,Volkswagen, Indonesia
BR1081,DLR0148,Mar-M148,21192432,3,DT00109,4/19/2017,04,Ligier Motors,Lotus Motors,CNTR103,Volkswagen, Iran
BR1091,DLR0150,Mar-M150,13805586,2,DT00110,4/20/2017,04,Lincoln Motors,LTI Motors,CNTR103,Volvo, Iran
BR1101,DLR0152,Mar-M152,6576128,2,DT00111,4/21/2017,04,Lotus Motors,LuAZ Motors,CNTR104,Agrale, Iraq
BR1111,DLR0153,Hyu-M153,11687542,2,DT00112,4/22/2017,04,LTI Motors,Lynx Motors,CNTR105,Agrale, Ireland
BR1121,DLR0154,Hyu-M154,3223632,3,DT00113,4/23/2017,04,LuAZ Motors,Mahindra Motors,CNTR106,Agrale, Isle of Man (UK)
BR1131,DLR0155,Hyu-M155,12200662,2,DT00114,4/24/2017,04,Lynx Motors,Marcos Motors,CNTR107,Chevrolet, Israel
BR1141,DLR0157,Hyu-M157,1397660,2,DT00115,4/25/2017,04,Mahindra Motors,Marlin Motors,CNTR107,Citroën, Israel
BR1151,DLR0158,Hyu-M158,8591331,1,DT00116,4/26/2017,04,Marcos Motors,Maruti Motors,CNTR108,Citroën, Italy
BR1161,DLR0161,Hyu-M161,17398632,3,DT00117,4/27/2017,04,Marlin Motors,Maserati Motors,CNTR109,Fiat, Jamaica
BR1171,DLR0162,Hyu-M162,3819603,1,DT00118,4/28/2017,04,Maruti Motors,Mastretta Motors,CNTR110,Fiat, Japan
,,,,,,,,,,CNTR110,Ford, Japan
,,,,,,,,,,CNTR111,Honda, Jersey (UK)
,,,,,,,,,,CNTR112,Mercedes-Benz, Jordan
,,,,,,,,,,CNTR113,Mercedes-Benz, Kazakhstan
,,,,,,,,,,CNTR114,Mercedes-Benz, Kenya
,,,,,,,,,,CNTR115,Peugeot, Kiribati
,,,,,,,,,,CNTR116,Peugeot," Korea, North"
,,,,,,,,,,CNTR116,Peugeot," Korea, South"
,,,,,,,,,,CNTR117,Renault, Kosovo
,,,,,,,,,,CNTR118,Renault, Kuwait
,,,,,,,,,,CNTR119,Renault, Kyrgyzstan
,,,,,,,,,,CNTR120,Renault, Laos
,,,,,,,,,,CNTR121,Renault, Latvia
,,,,,,,,,,CNTR122,Renault, Lebanon
,,,,,,,,,,CNTR123,Toyota, Lesotho
BR1331,DLR0178,Mah-M178,10901283,3,DT00134,5/14/2017,05,Monteverdi Motors,Moskwitch Motors,CNTR124,Toyota, Liberia
BR1341,DLR0182,Tat-M182,22819110,3,DT00135,5/15/2017,05,Morgan Motors,Nash Motors,CNTR125,Volkswagen, Libya
BR1351,DLR0183,Tat-M183,5740231,1,DT00136,5/16/2017,05,Moskwitch Motors,Naza Motors,CNTR126,Volkswagen, Liechtenstein
BR1361,DLR0184,Tat-M184,22956720,3,DT00137,5/17/2017,05,Nash Motors,Nissan Motors,CNTR127,Maruti Suzuki, Lithuania
BR1371,DLR0185,Tat-M185,18486910,2,DT00138,5/18/2017,05,Naza Motors,Nissan India Motors,CNTR128,Maruti Suzuki, Luxembourg
BR1381,DLR0187,Tat-M187,12941846,2,DT00139,5/19/2017,05,Nissan Motors,Noble Motors,CNTR129,Maruti Suzuki, Madagascar
BR1391,DLR0188,Tat-M188,24939225,3,DT00140,5/20/2017,05,Nissan India Motors,NSU Motors,CNTR130,Maruti Suzuki, Malawi
BR1401,DLR0191,Tat-M191,4553745,3,DT00141,5/21/2017,05,Noble Motors,Oldsmobile Motors,CNTR131,Maruti Suzuki, Malaysia
BR1411,DLR0192,Tat-M192,19268528,2,DT00142,5/22/2017,05,NSU Motors,Opel Motors,CNTR132,Maruti Suzuki, Maldives
BR1421,DLR0194,Tat-M194,13975350,3,DT00143,5/23/2017,05,Oldsmobile Motors,Packard Motors,CNTR133,Maruti Suzuki, Mali
BR1431,DLR0195,Toy-M195,8532681,3,DT00144,5/24/2017,05,Oltcit Motors,Pagani Motors,CNTR134,Maruti Suzuki, Malta
BR1441,DLR0196,Toy-M196,1852696,2,DT00145,5/25/2017,05,Opel Motors,Panhard Motors,CNTR135,Maruti Suzuki, Marshall Islands
BR1451,DLR0198,Toy-M198,307458,2,DT00146,5/26/2017,05,Packard Motors,Panoz Motors,CNTR136,Maruti Suzuki, Mauritania
BR1461,DLR0200,Toy-M200,2545818,3,DT00147,5/27/2017,05,Pagani Motors,Panther Motors,CNTR137,Maruti Suzuki, Mauritius
BR1471,DLR0202,Toy-M202,14283456,2,DT00148,5/28/2017,05,Panhard Motors,Peel Motors,CNTR138,Maruti Suzuki, Mayotte (France)
BR1481,DLR0203,Toy-M203,6064806,1,DT00149,5/29/2017,05,Panoz Motors,Perodua Motors,CNTR139,Maruti Suzuki, Mexico
BR1491,DLR0204,Toy-M204,27205020,3,DT00150,5/30/2017,05,Panther Motors,Peugeot Motors,CNTR140,Maruti Suzuki, Federated States of Micronesia
BR1501,DLR0205,Toy-M205,857333,1,DT00151,5/31/2017,05,Peel Motors,PGO Motors,CNTR141,Maruti Suzuki, Moldova
BR1511,DLR0207,Ren-M207,12167115,3,DT00152,6/1/2017,06,Perodua Motors,Piaggio Motors,CNTR142,Maruti Suzuki, Monaco
BR1521,DLR0208,Ren-M208,7862894,2,DT00153,6/2/2017,06,Peugeot Motors,Plymouth Motors,CNTR143,Hyundai, Mongolia
BR1531,DLR0210,Ren-M210,15599949,3,DT00154,6/3/2017,06,PGO Motors,Polestar Motors,CNTR144,Hyundai, Montenegro
BR1541,DLR0211,Ren-M211,313401,1,DT00155,6/4/2017,06,Piaggio Motors,"Pontiac, Asüna Motors",CNTR145,Hyundai, Montserrat (UK)
BR1551,DLR0213,Kia-M213,11571686,2,DT00156,6/5/2017,06,Plymouth Motors,Porsche Motors,CNTR146,Hyundai, Morocco
BR1561,DLR0214,Kia-M214,6953904,2,DT00157,6/6/2017,06,Polestar Motors,Premier Motors,CNTR147,Hyundai, Mozambique
BR1571,DLR0216,Hon-M216,6813837,1,DT00158,6/7/2017,06,"Pontiac, Asüna Motors",Proton Motors,CNTR148,Hyundai, Myanmar
BR1581,DLR0217,Hon-M217,4038996,3,DT00159,6/8/2017,06,Porsche Motors,Puma Motors,CNTR149,Hyundai, Namibia
BR1591,DLR0218,Hon-M218,8043585,1,DT00160,6/9/2017,06,Premier Motors,Ranger Motors,CNTR150,Hyundai, Nauru
BR1601,DLR0220,Hon-M220,5295622,2,DT00161,6/10/2017,06,Proton Motors,Reliant Motors,CNTR151,Hyundai,   Nepal
BR1611,DLR0221,For-M221,10821420,2,DT00162,6/11/2017,06,Puma Motors,Renault Motors,CNTR152,Hyundai, Netherlands
BR1621,DLR0222,For-M222,6142710,1,DT00163,6/12/2017,06,Ranger Motors,Rivian Motors,CNTR153,Hyundai, New Caledonia (France)
BR1631,DLR0223,For-M223,9833386,1,DT00164,6/13/2017,06,Reliant Motors,Rolls-Royce Motors,CNTR154,Hyundai, New Zealand
BR1641,DLR0224,For-M224,7376554,2,DT00165,6/14/2017,06,Renault Motors,Saab Motors,CNTR154,Mahindra, New Zealand
BR1651,DLR0225,For-M225,25182108,3,DT00166,6/15/2017,06,Rivian Motors,SAIC Motor Motors,CNTR155,Mahindra, Nicaragua
BR1661,DLR0226,For-M226,2647939,1,DT00167,6/16/2017,06,Rolls-Royce Motors,Saleen Motors,CNTR156,Mahindra, Niger
BR1671,DLR0228,Aud-M228,13947502,2,DT00168,6/17/2017,06,Saab Motors,Samsung Motors,CNTR157,Mahindra, Nigeria
BR1681,DLR0229,Aud-M229,4030132,1,DT00169,6/18/2017,06,SAIC Motor Motors,San Motors,CNTR158,Mahindra, Niue (New Zealand)
BR1691,DLR0230,Aud-M230,1023248,1,DT00170,6/19/2017,06,Saleen Motors,Santa Matilde Motors,CNTR159,Mahindra, Norfolk Island (Australia)
BR1701,DLR0231,Aud-M231,9805168,2,DT00171,6/20/2017,06,Samsung Motors,Santana Motors,CNTR160,Mahindra, North Macedonia
BR1711,DLR0233,Aud-M233,11278020,3,DT00172,6/21/2017,06,San Motors,Saturn Motors,CNTR161,Mahindra, Northern Cyprus
BR1721,DLR0234,Aud-M234,26563497,3,DT00173,6/22/2017,06,Santa Matilde Motors,Scion Motors,CNTR162,Mahindra, Northern Mariana Islands (US)
BR1731,DLR0235,Aud-M235,4900328,1,DT00174,6/23/2017,06,Santana Motors,Seat Motors,CNTR163,Mahindra, Norway
BR1741,DLR0236,Aud-M236,17972157,3,DT00175,6/24/2017,06,Saturn Motors,Shelby SuperCars Motors,CNTR164,Mahindra, Oman
BR1751,DLR0237,Aud-M237,10920946,2,DT00176,6/25/2017,06,Scion Motors,Simca Motors,CNTR165,Mahindra, Pakistan
BR1761,DLR0238,Aud-M238,3440078,2,DT00177,6/26/2017,06,Seat Motors,Simca do Brasil Motors,CNTR166,Mahindra, Palau
BR1771,DLR0240,Aud-M240,16855406,2,DT00178,6/27/2017,06,Shelby SuperCars Motors,Singer Motors,CNTR167,Mahindra, State of Palestine
BR1781,DLR0241,Aud-M241,6911454,2,DT00179,6/28/2017,06,Simca Motors,Skoda Motors,CNTR167,Tata, State of Palestine
BR1791,DLR0242,BMW-M242,17126070,3,DT00180,6/29/2017,06,Simca do Brasil Motors,Smart Motors,CNTR168,Tata, Panama
BR1801,DLR0243,BMW-M243,1739244,3,DT00181,6/30/2017,06,Singer Motors,Spyker Motors,CNTR169,Tata, Papua New Guinea
BR1811,DLR0244,BMW-M244,4934636,1,DT00182,7/1/2017,07,Skoda Motors,SsangYong Motors,CNTR170,Tata, Paraguay
BR1821,DLR0245,BMW-M245,24211491,3,DT00183,7/2/2017,07,Smart Motors,Standard-Triumph Motors,CNTR171,Tata, Peru
BR1831,DLR0246,BMW-M246,1050883,1,DT00184,7/3/2017,07,Spyker Motors,Studebaker Motors,CNTR172,Tata, Philippines
BR1841,DLR0249,BMW-M249,5358057,1,DT00185,7/4/2017,07,SsangYong Motors,Subaru Motors,CNTR172,Tata, Philippines
BR1851,DLR0251,MG-M251,8443706,1,DT00186,7/5/2017,07,Standard-Triumph Motors,Sunbeam Motors,CNTR173,Tata, Pitcairn Islands (UK)
BR1861,DLR0252,MG-M252,5616461,1,DT00187,7/6/2017,07,Studebaker Motors,Suzuki Motors,CNTR174,Tata, Poland
BR1871,DLR0253,Jee-M253,16890826,2,DT00188,7/7/2017,07,Subaru Motors,Tata Motors,CNTR175,Tata, Portugal
BR1881,DLR0255,Vol-M255,5289426,2,DT00189,7/8/2017,07,Sunbeam Motors,Tatra Motors,CNTR175,Tata, Portugal
BR1891,DLR0256,Vol-M256,2563134,3,DT00190,7/9/2017,07,Suzuki Motors,Tazzari Motors,CNTR176,Tata, Puerto Rico (US)
BR1901,DLR0257,Vol-M257,11502266,2,DT00191,7/10/2017,07,Tata Motors,Tesla Motors,CNTR176,Tata, Puerto Rico (US)
BR1911,DLR0258,Vol-M258,12618398,2,DT00192,7/11/2017,07,Tatra Motors,Tornado Motors,CNTR177,Tata, Qatar
BR1921,DLR0259,Vol-M259,10732148,2,DT00193,7/12/2017,07,Tazzari Motors,Toyota Motors,CNTR178,Tata, Romania
BR1931,DLR0260,Vol-M260,10113618,3,DT00194,7/13/2017,07,Tesla Motors,Toyota India Motors,CNTR178,Tata, Romania
BR1941,DLR0263,Nis-M263,13123846,2,DT00195,7/14/2017,07,Tornado Motors,Turner Motors,CNTR179,Toyota, Russia
BR1951,DLR0265,Nis-M265,18898203,3,DT00196,7/15/2017,07,Toyota Motors,TVR Motors,CNTR180,Toyota, Rwanda
